strain,background,MIC_parent,MIC_daughter
KJC60,Ancestor,2,8
KJC61,Ancestor,2,8
KJC62,Ancestor,2,8
KJC63,Ancestor,2,8
KJC64,Ara+4,1,2
KJC65,Ara+5,2,4
KJC66,Ara-5,2,2
KJC67,Ara-6,2,8
KJC72,Ara+4,1,2
KJC73,Ara+5,1,2
KJC74,Ara-5,1,4
KJC75,Ara-6,1,4
KJC80,Ara+4,1,2
KJC81,Ara+5,2,2
KJC82,Ara-5,1,2
KJC83,Ara-6,1,2
